numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
309,4.0,"Appliances, Electrical, and Electronics Manufacturing",commercial sales,3.51,empty,comelit group s p a,cuny new york city college of technology,2
312,3.0,IT Services and IT Consulting,software quality assurance engineer,15.17,Bachelor,abridge,cuny new york city college of technology,2
158,3.0,Recreational Facilities,small business,11.92,empty,kristi s kanines,baruch college,2
226,5.0,Financial Services,strategy business development,28.24,MBA,dun bradstreet,montclair state university,2
343,2.0,"Health, Wellness & Fitness",teacher,19.99,Doctor,psychotherapy spirituality institute,new york university,2
338,6.0,Accounting,financial consultant,16.33,Master,tan associates inc,university of michigan stephen m ross school of business,2
352,3.0,Retail Luxury Goods and Jewelry,small business,14.0,Bachelor,j demichael fine jewelry,university of maryland,2
185,1.0,Automotive,brand,5.43,Bachelor,audi of america,baruch college,2
319,3.0,Hospital & Health Care,teaching,15.67,Master,mount sinai health system,adelphi university,2
345,2.0,Financial Services,consulting engineer,10.51,Bachelor,bank of america,university of maine,2
217,1.0,Cosmetics,social media,6.66,Bachelor,chf industries,parsons school of design the new school,2
319,4.0,Medical Practice,physician,6.0,Doctor,nyu langone health,duke university,2
345,2.0,Accounting,tax consultant,2.08,Bachelor,deloitte,cuny york college,2
209,5.0,Architecture and Planning,gm,2.0,Bachelor,just fries italy,seconda università degli studi di napoli,2
257,5.0,Accounting,billing analyst,16.33,Bachelor,mufg,baruch college,2
404,2.0,"Health, Wellness & Fitness",financial adviser,7.57,empty,the better choice lenders,clifton high school,2
216,1.0,Accounting,tax accountant,5.66,Bachelor,pwc,city university of new york brooklyn college,2
260,2.0,Computer Software,it developer,9.17,Bachelor,mitsui bussan commodities ltd,gujarat university,2
356,2.0,Wellness and Fitness Services,education,8.0,Associate,center moriches umc,suny farmingdale adelphi university,2
160,1.0,Entertainment,secretary,4.67,Bachelor,the dermot company lp,brown university,2
228,3.0,Entertainment,actor,17.75,Bachelor,self employed,schiller college london england,2
340,4.0,Law Practice,professor,7.25,Doctor,esquire cle,boston university school of law,2
240,1.0,Cosmetics,customer service sales,10.32,empty,sephora,western connecticut state university,2
256,2.0,Real Estate,real estate broker,6.09,Bachelor,luxury living by michael hern,university of south carolina,2
371,3.0,Research Services,research scientist,11.5,Doctor,nyu langone health,rutgers university,2
163,2.0,Hospitals and Health Care,application analyst,3.83,Associate,mount sinai health system,nassau community college,2
363,4.0,Accounting,financial analyst,7.25,Bachelor,pwc,boston college,2
178,4.0,Business Consulting and Services,business coordinator,12.34,MBA,alvarez marsal,touro university,2
220,4.0,Software Development,application development,8.25,Master,jpmorgan chase co,bits pilani,2
190,2.0,Staffing & Recruiting,marketing coordinator,13.93,Bachelor,nnn pro,lim college,2
291,2.0,Textiles,stylist,11.07,Bachelor,style library,syracuse university,2
218,2.0,Architecture and Planning,designer,10.58,Bachelor,gensler,pratt institute,2
254,3.0,Internet,investment,24.08,Bachelor,j p morgan,reforge,2
337,3.0,Information Technology & Services,it project,21.92,Bachelor,sumitomo mitsui trust bank u s a limited,stony brook university,2
290,2.0,Higher Education,teacher,8.66,Master,avenues the world school,columbia university in the city of new york,2
249,2.0,Hospitality,data analyst,7.9,Bachelor,highgate,university of maryland,2
261,5.0,Non-profit Organization Management,law,14.08,MBA,hodgson russ llp,city university of new york college of staten island,2
300,2.0,Government Administration,teaching,10.16,Master,fund for public health in nyc,cuny graduate school of public health and health policy,2
276,6.0,Hospital & Health Care,physician,11.74,Master,newyork presbyterian hospital,the city university of new york,2
214,1.0,Staffing & Recruiting,clerical,7.91,Bachelor,mount sinai health system,champlain college,2
351,1.0,Defense & Space,research,5.0,empty,nasa national aeronautics and space administration,yale university,2
204,2.0,Research,research scientist,14.84,Doctor,new york university school of medicine,university of illinois at chicago,2
172,5.0,Research,environment health safety,38.58,Master,retired,rutgers university,2
191,1.0,Performing Arts,stage,21.09,Master,rei,rutgers university,2
161,2.0,Government Administration,captain,2.83,Bachelor,us navy,university at buffalo,2
318,5.0,Retail,web application developer,14.25,empty,ralph lauren,university of pennsylvania,2
326,6.0,Banking,credit analyst,25.0,MBA,td bank n a,state university of new york at buffalo school of management,2
171,3.0,Higher Education,professor,14.42,Doctor,cambodian rock band 2023 tour,the graduate center city university of new york,2
272,2.0,Hospitals and Health Care,clinical,35.58,Master,new york presbyterian hospital,city university of new york hunter college,2
206,1.0,Real Estate,quality coordinator,21.83,empty,csl plasma,seton hall university,2
168,4.0,Fine Art,professor,9.66,Master,maine media workshops college,new york studio school of drawing painting sculpture,2
152,1.0,Hospitals and Health Care,social worker,4.17,Master,new york presbyterian hospital,adelphi university,2
241,3.0,Hospital & Health Care,nursing,3.17,Bachelor,cooperman barnabas medical center,rutgers school of nursing,2
287,3.0,Biotechnology Research,engineer,14.17,Doctor,johnson johnson medtech,duke university,2
349,5.0,Design,visual designer,24.58,empty,nbbj esi design,new york university,2
355,5.0,Marketing & Advertising,finance,30.17,Bachelor,biolumina,university at albany,2
363,6.0,Financial Services,capital markets,15.5,Bachelor,mizuho,university of delaware,2
374,3.0,Education Administration Programs,teacher,15.75,Master,cloud forest school centro de educación creativa,the university of texas at austin,2
336,1.0,International Affairs,translator,27.0,Master,united nations,harvard university,2
373,1.0,Book and Periodical Publishing,administrative coordinator,18.58,Bachelor,marsh mclennan,baruch college,2
153,1.0,Medical Device,sales representative,16.59,empty,iscreen vision inc,inactive 1703030558 liu brooklyn,2
182,6.0,Law Practice,attorney,16.66,Doctor,haworth barber gerstman llc,brooklyn law school,2
174,3.0,Software Development,small business,15.83,MBA,dinner myway,new york institute of technology old westbury,2
346,3.0,Biotechnology,professor,14.49,Doctor,icahn school of medicine at mount sinai,université de nantes,2
371,3.0,Pharmaceuticals,scientist,9.5,Doctor,cornell university,peking union medical college,2
266,4.0,Apparel & Fashion,buying,3.25,Bachelor,geneva home fashion,lim college,2
184,4.0,Entertainment Providers,producer,9.75,Bachelor,abc news,purchase college suny,2
194,4.0,Computer Software,client support,37.33,empty,bottomline technologies,rider university,2
362,2.0,Performing Arts,writer,14.23,Doctor,disney theatrical group,columbia law school,2
337,2.0,Writing & Editing,writer,23.17,Master,author of articles on natural history science arts and discovery,princeton university,2
177,2.0,Architecture & Planning,architect,4.99,Bachelor,paul a castrucci architects,new york institute of technology,2
184,3.0,Marketing & Advertising,social media,5.08,Bachelor,spark foundry,university of connecticut,2
318,3.0,Insurance,underwriter,8.91,Bachelor,allianz commercial,st thomas aquinas college,2
213,2.0,Mental Health Care,home,4.0,Master,presence of mind therapy,columbia university,2
196,4.0,Online Media,photographer,24.33,Master,apple,new york university,2
346,3.0,Hospital & Health Care,rn,4.17,Bachelor,plastic surgery institute of new york,chamberlain university,2
252,1.0,Primary/Secondary Education,teacher,7.58,Master,hackensack board of education,dominican college of blauvelt,2
294,1.0,Hospitals and Health Care,help,14.25,Bachelor,health village imaging,southern new hampshire university,2
190,3.0,Construction,real estate broker,0.91,Bachelor,ryan company,nichols college,2
180,1.0,Investment Management,research scientist,0.5,Bachelor,toyota north america,columbia university in the city of new york,2
345,4.0,Advertising Services,marketing coordinator,23.25,Master,leo burnett,university of macau,2
218,5.0,Media Production,strategic,0.33,Bachelor,abc sports 2007 college football scoreboard show,boston university,2
288,4.0,Higher Education,consulting,9.08,Doctor,teachers college columbia university,columbia university in the city of new york,2
212,2.0,Financial Services,account analyst,7.25,Bachelor,blackrock,rutgers university,2
300,4.0,Retail Apparel and Fashion,merchandising,17.58,Bachelor,haddad brands,berkeley college new york,2
350,3.0,Hospital & Health Care,content creator,14.59,Bachelor,medscape,university of california berkeley,2
161,5.0,Internet,coach,34.41,Master,home,rensselaer polytechnic institute,2
354,3.0,Construction,investigations,14.1,Bachelor,columbia university in the city of new york,binghamton university,2
297,1.0,Non-profit Organization Management,paramedic,16.83,Bachelor,hudson regional health commission,rutgers university new brunswick,2
187,2.0,Higher Education,research scientist,13.82,Doctor,new york state department of health,harvard university,2
282,2.0,Research,research scientist,9.66,Doctor,the johns hopkins university,weill cornell graduate school of medical sciences,2
164,1.0,Pharmaceuticals,research scientist,13.83,Doctor,novartis institutes for biomedical research nibr,rutgers university new brunswick,2
325,5.0,IT Services and IT Consulting,systems engineering,15.08,Bachelor,dell technologies,northeastern university,2
154,2.0,Higher Education,research scientist,11.24,Doctor,columbia university irving medical center,stanford university,2
255,3.0,Financial Services,teacher,6.9,Bachelor,bank of america,new york university,2
209,3.0,Investment Management,financial reporting analyst,4.0,Bachelor,balyasny asset management,binghamton university,2
236,7.0,Hospitality,md,5.0,Bachelor,www ricardoralphlopez com www sunsetrdv com,lycee alexandre dumas haiti,2
352,3.0,Hospital & Health Care,research,20.42,Doctor,suny downstate medical center,university of the basque country,2
291,1.0,Marketing & Advertising,promotions,10.49,Bachelor,lincoln tech,montclair state university,2
195,1.0,Higher Education,security officer,9.16,MBA,carolina cyber center,mercy university,2
245,3.0,Hospitals and Health Care,professor,24.93,Doctor,lund university,lund university faculty of medicine skåne sweden,2
269,2.0,Financial Services,marketing research,1.82,Bachelor,american express,new york university,2
191,1.0,Construction,construction project,16.66,Doctor,elmhall millworks inc,belarus state economic university,2
320,5.0,International Affairs,reporter,4.41,Doctor,united nations,charles university in prague,2
230,4.0,Construction,superintendent,5.25,Bachelor,reidy contracting group,technological university of the shannon,2
319,2.0,Hospital & Health Care,clinical,12.99,Master,weill cornell medicine,michigan state university,2
181,2.0,Biotechnology,research engineer,3.16,Doctor,caltech,harvey mudd college,2
258,2.0,Financial Services,accounting,7.0,Bachelor,cornick garber sandler llp,baruch college,2
289,1.0,Hospital & Health Care,nurse,6.74,Bachelor,new york state department of health,stony brook university,2
306,1.0,Hospitals and Health Care,teaching,13.67,Master,coty,st john s university,2
199,4.0,Manufacturing,cost accountant,39.16,empty,marathon enterprises inc,hudson county community college,2
332,3.0,Computer Software,graphic design,11.25,empty,dreamwear,notre dame university louaize ndu,2
233,5.0,Higher Education,professor,15.99,Doctor,the unscene theatre company,the graduate center city university of new york,2
217,2.0,Research,research,7.08,Doctor,cornell university,university of florida,2
171,4.0,Publishing,business analyst,21.83,Bachelor,the walt disney company,university of pennsylvania,2
201,1.0,Research,laboratory technician,8.99,Doctor,nyu grossman school of medicine,new york university,2
363,2.0,Research,research scientist,9.08,Doctor,cornell high energy synchrotron source,cornell university,2
235,4.0,Higher Education,physician,13.4,Doctor,harbor ucla medical center,columbia university vagelos college of physicians and surgeons,2
214,4.0,Human Resources Services,finance operations,22.91,Bachelor,leboo inc,university at buffalo,2
203,3.0,Computer Software,software engineer,9.92,Bachelor,motorola solutions,queens college,2
336,2.0,Financial Services,software programmer,0.67,Bachelor,polaris7 investments llc,university of southern california,2
321,5.0,Hospital & Health Care,professor,8.67,Doctor,new york proton center,tianjin university,2
247,5.0,Hospitals and Health Care,application analyst,14.0,empty,catholic health services,university of florida,2
380,2.0,Music,video editor,29.51,empty,gut feeling,avid,2
316,4.0,Financial Services,account analyst,15.5,Bachelor,citi,stony brook university,2
356,5.0,Financial Services,directors,17.01,Bachelor,supplemental health care,unniversity of pennsylvania wharton school,2
323,1.0,Hospital & Health Care,public relations,17.56,Bachelor,nyu langone health,universidad del sagrado corazón,2
347,1.0,Apparel & Fashion,stylist,16.91,MBA,ross stores inc,hampton university,2
312,2.0,Publishing,editor,8.17,Bachelor,time out new york kids,williams college,2
252,5.0,Entertainment,writer,31.0,Master,off center for the dramatic arts,university of vermont,2
254,2.0,Higher Education,teaching,19.9,Bachelor,stony brook university graduate school,stony brook university,2
355,3.0,Accounting,tax preparer,4.83,Master,grassi,hofstra university,2
325,5.0,Research Services,research scientist,12.09,Doctor,schrödinger,rmit university,2
325,5.0,Retail Apparel and Fashion,creative,17.33,Bachelor,equality new york designs,fashion institute of technology,2
282,3.0,Higher Education,research scientist,12.5,Doctor,columbia university irving medical center,indian institute of science education research iiser kolkata,2
271,4.0,Luxury Goods & Jewelry,salesperson,15.42,empty,fendi,mt san antonio college,2
244,1.0,Writing & Editing,teacher,11.84,Master,consumeraffairs,touro university worldwide,2
272,2.0,Research Services,teaching,1.75,Doctor,columbia university in the city of new york,the university of chicago,2
327,5.0,Software Development,software engineer,9.92,Bachelor,google,george mason university,2
307,4.0,IT Services and IT Consulting,research engineer,7.58,Master,ibm,indiana university bloomington,2
308,2.0,Administration of Justice,law,41.17,Doctor,presiding justice trial part 38 supreme court manhattan,new york university,2
428,2.0,Biotechnology,research engineer,3.09,Bachelor,massachusetts institute of technology,the city college of new york,2
361,4.0,Photography,producer,14.33,empty,wagner college,sva ny,2
163,1.0,Hospital & Health Care,physical therapist,4.16,Bachelor,staten island university hospital,kingsborough community college,2
231,3.0,Research,research,5.33,Doctor,rptu kaiserslautern landau,universität der künste berlin,2
391,7.0,Entertainment Providers,directors,14.16,Bachelor,love squad,institute of integrative nutrition,2
355,3.0,Higher Education,research technician,3.16,Doctor,georgia tech research institute,georgia institute of technology,2
205,4.0,Hospital & Health Care,professor,25.09,Bachelor,joan sanford i weill medical college of cornell university,michigan state university,2
186,1.0,Staffing & Recruiting,home,18.67,Bachelor,robert half,city and islington college,2
335,4.0,Writing & Editing,editor,16.91,Bachelor,the kim loo sisters,alliance française paris france,2
240,3.0,Education Management,superintendent,32.5,Master,roman catholic diocese of brooklyn,st john s university,2
206,2.0,Computer Software,software programmer,6.75,Bachelor,macquarie group,university of north florida,2
291,1.0,Accounting,tax preparer,4.83,Bachelor,internal revenue service,state university of new york at old westbury,2
165,5.0,Retail Apparel and Fashion,strategic accounts,37.83,empty,texport syndicate india ltd,pace university,2
197,1.0,Publishing,reporter,10.59,Master,the new press,new york university,2
202,6.0,Investment Banking,md,10.0,MBA,montgomery advisors llc,the university of texas at austin,2
296,2.0,Medical Practice,scientific,4.91,empty,applied isotope technologies,boston university 6 yr medical program,2
253,2.0,Retail Apparel and Fashion,sales representative,6.84,Bachelor,temple st clair,lim college,2
432,4.0,Management Consulting,research analyst,3.33,empty,metropolitan transportation authority,nyu stern school of business,2
331,1.0,Insurance,tax preparer,13.66,Bachelor,crisp insurance advisors,rutgers university,2
221,4.0,Graphic Design,graphic design,10.16,Bachelor,inspiren,northeastern university,2
364,3.0,Pharmaceuticals,clinical research,11.91,Doctor,target health full service cro,rutgers university,2
312,3.0,Computer Software,research scientist,7.83,Doctor,meta,university of colorado boulder,2
338,2.0,Performing Arts,artist,14.98,Bachelor,motus the company,east carolina university,2
185,5.0,Civil Engineering,construction,27.41,MBA,extell,nyit school of management,2
263,5.0,Motion Pictures & Film,game designer,31.75,Bachelor,alice blue,hofstra university,2
288,2.0,Entertainment Providers,communications coordinator,19.33,Bachelor,the jewish theological seminary jts,barnard college,2
194,5.0,Medical Practices,medical,53.91,Doctor,combative sports consulting services,stony brook university,2
282,4.0,Architecture & Planning,architect,9.17,Master,diller scofidio renfro,harvard university graduate school of design,2
260,3.0,Financial Services,financial services,4.41,Bachelor,robinhood,uc irvine,2
173,2.0,Design,graphic design,0.17,Bachelor,yoka games,savannah college of art and design,2
384,4.0,Computer Software,student,9.33,Doctor,google,university of michigan rackham graduate school,2
263,1.0,Research Services,research,18.92,Doctor,memorial sloan kettering cancer center,the institute of cancer research,2
330,3.0,Research,teaching,7.0,Doctor,regeneron,university of michigan,2
230,6.0,Investment Management,capital markets,19.67,Bachelor,clearbridge investments,baruch college,2
251,2.0,Higher Education,administrator,6.58,Master,john jay college cuny,long island university brooklyn campus,2
168,2.0,Marketing & Advertising,marketing,6.34,Associate,axis promotions,university of carlow ireland,2
330,3.0,Apparel & Fashion,social media marketing,6.99,Bachelor,models com,parsons school of design the new school,2
217,2.0,Real Estate,claims adjuster,18.76,Bachelor,metro public adjustment inc,nyu,2
305,2.0,Hospitals and Health Care,software designer,12.67,Doctor,google,duke university,2
153,5.0,Information Technology & Services,python developer,12.08,Bachelor,verizon,government college of technology coimbatore,2
196,2.0,Public Relations & Communications,writer,1.25,MBA,adecco,south college,2
276,2.0,Medical Practices,teaching,0.92,Doctor,icahn school of medicine at mount sinai,tel aviv university,2
194,3.0,Medical Device,regulatory affairs,16.41,Doctor,teleflex,stony brook university,2
257,4.0,Higher Education,professor,13.17,Doctor,rutgers university,princeton university,2
311,4.0,Utilities,systems consultant,36.59,Bachelor,ppl corporation,lehigh university college of business and economics,2
199,1.0,Research,research,23.92,Master,columbia business school,columbia business school,2
331,1.0,Medical Practice,counselor,22.0,Master,portrait health centers lifestance health inc,monmouth university,2
152,1.0,Writing & Editing,book seller,16.99,Master,woodbury public library,texas woman s university,2
184,2.0,Education Management,education,13.49,Bachelor,the office of the executive vice president for arts and sciences at columbia university,school of visual arts,2
270,2.0,Museums & Institutions,real estate broker,16.16,Master,prevu,sotheby s institute of art,2
197,2.0,Accounting,tax accountant,0.83,Master,morgan stanley,fordham gabelli school of business,2
352,4.0,Telecommunications,analyst,18.42,Bachelor,verizon,centenary college,2
195,1.0,Publishing,editor,16.0,Bachelor,scholastic,pace university,2
310,1.0,Animation,production artist,1.5,empty,pratt institute,pratt institute,2
199,2.0,Financial Services,investment analyst,3.08,Master,ubs,massachusetts institute of technology,2
163,1.0,Entertainment Providers,content creator,19.07,Bachelor,school of rock,berklee college of music,2
354,3.0,Financial Services,investment,10.09,empty,wells fargo,university of south carolina darla moore school of business,2
290,5.0,Legal Services,strategic account,16.5,Bachelor,ravel law a lexisnexis company,indiana university bloomington,2
305,4.0,Pharmaceuticals,statistical programmer,4.33,empty,bristol myers squibb,columbia university mailman school of public health,2
271,1.0,Architecture and Planning,architecture,3.33,Master,design collective inc,university of maryland college park,2
403,2.0,Entertainment Providers,treasurer,10.92,Bachelor,jefferies,pace university lubin school of business,2
156,1.0,Financial Services,client service representative,10.17,empty,calamos investments,dominican university new york,2
222,2.0,Financial Services,trust,45.83,MBA,wealth advisory group llc,new york university leonard n stern school of business,2
281,5.0,Architecture & Planning,architect,15.25,Bachelor,spiezle architectural group inc,new jersey institute of technology,2
281,3.0,"Health, Wellness & Fitness",teacher,8.0,Bachelor,claudia colombo skin wellness,institute for integrative nutrition,2
254,2.0,Marketing & Advertising,social media marketing,1.0,Bachelor,msc mediterranean shipping company,hobart and william smith colleges,2
369,5.0,Research Services,research scientist,10.25,Doctor,johnson johnson,university of maryland baltimore,2
195,6.0,Architecture and Planning,architect,10.41,Bachelor,pei partnership architects,yale university school of architecture,2
327,1.0,Primary/Secondary Education,teacher,17.91,Master,newark public schools,relay graduate school of education,2
160,2.0,Public Policy,professor,12.92,Doctor,weill cornell medicine,weill cornell graduate school of medical sciences,2
214,1.0,Primary/Secondary Education,substitute teacher,19.33,Master,briarcliff manor union free school district,lehman college,2
269,5.0,Financial Services,portfolio,18.58,Bachelor,the citco group limited,baruch college city university of new york cuny,2
324,4.0,Facilities Services,business services,6.49,Bachelor,family owned appliance repair and retail business,baruch college,2
223,3.0,Logistics & Supply Chain,customer service,12.25,Bachelor,bet mgm,west virginia university,2
240,6.0,Accounting,tax consultant,13.34,Bachelor,nksfb,state university of new york at plattsburgh,2
381,5.0,Higher Education,substitute teacher,5.75,Doctor,columbia university in the city of new york,london school of hygiene and tropical medicine u of london,2
212,2.0,Research,financial analyst,10.34,Associate,population council,stamford college,2
296,2.0,Computer Software,research scientist,15.67,Doctor,schrödinger,princeton university,2
278,5.0,Primary and Secondary Education,teaching,23.84,Master,mamaroneck union free school district,hunter college,2
359,4.0,Non-profit Organization Management,graphic design,13.42,Bachelor,united way,university of mary washington,2
367,5.0,Real Estate,realtor,8.75,empty,coldwell banker,villanova university,2
332,1.0,Higher Education,teaching,14.07,Doctor,washington state university,washington state university,2
248,5.0,Law Practice,directors,1.0,Doctor,force for good super pac,the george washington university law school,2
160,2.0,Mechanical Or Industrial Engineering,mechanical engineer,11.5,Bachelor,astrodyne tdi,new jersey institute of technology,2
314,5.0,Financial Services,lending,15.33,Bachelor,bank of america merrill lynch,borough of manhattan community college,2
296,4.0,Marketing & Advertising,social media,8.67,Bachelor,fat earth media,suny new paltz,2
292,1.0,Photography,photographer,5.92,Bachelor,milk,the cooper union for the advancement of science and art,2
301,2.0,Oil & Energy,manufacturing,8.83,Master,koehler instrument company inc,stony brook university,2
335,1.0,Computer Software,research,3.25,Doctor,university of guelph,university of guelph,2
249,2.0,Mechanical Or Industrial Engineering,manufacturing,7.67,Master,nassau candy distributors inc,georgia institute of technology,2
163,2.0,Computer Software,software engineering,3.99,Master,amazon,university of southern california,2
205,4.0,Mental Health Care,nurse,25.34,Doctor,weill cornell medicine,new york university,2
317,2.0,Entertainment Providers,actor,42.17,Bachelor,actor singer filmmaker union member,florida state university,2
222,4.0,Libraries,community,15.42,Bachelor,self employed,monmouth university,2
206,4.0,Public Relations & Communications,ambassador,8.33,Associate,anycasting china,montclair state university,2
178,1.0,Pharmaceuticals,microbiologist,4.33,Bachelor,topix pharmaceuticals inc,stony brook university,2
324,4.0,Chemicals,small business,6.67,Bachelor,jajaja plantas mexicana,university of arizona,2
292,1.0,Transportation/Trucking/Railroad,leasing consultant,17.0,Bachelor,stitch this print that,towson university,2
152,3.0,Financial Services,investment consultant,4.75,Bachelor,morgan stanley,mount holyoke college,2
377,2.0,Construction,project development,22.42,empty,lgr builders inc,florida atlantic university,2
351,2.0,Internet,software engineering,5.5,Doctor,google,columbia university,2
356,3.0,Construction,projectmanager,7.0,Bachelor,transmatch realty advisors b v,schoevers college,2
165,1.0,Aviation & Aerospace,crew,8.76,empty,flexjet,western suffolk boces,2
184,3.0,Writing & Editing,writer,10.24,empty,byline,lunds universitet,2
152,3.0,Biotechnology,physician,14.0,Doctor,penn state health,new york institute of technology college of osteopathic medicine,2
258,1.0,IT Services and IT Consulting,web designer,10.58,empty,local wisdom,general assembly,2
350,3.0,Hospital & Health Care,substitute teacher,5.42,Doctor,icahn school of medicine at mount sinai,mcmaster university,2
206,2.0,Marketing & Advertising,accountant,7.25,Bachelor,psyop,hunter college,2
298,4.0,Public Relations and Communications Services,communications,13.5,Master,new york city center,brooklyn college,2
361,5.0,Higher Education,professor,6.91,Master,nyu grossman school of medicine,the graduate center city university of new york,2
160,4.0,Semiconductors,customer success,16.33,Associate,vayyar imaging,gurnick academy of medical arts,2
263,1.0,Hospitals and Health Care,rn,12.76,Bachelor,all american healthcare services inc,university of phoenix,2
235,1.0,Education Administration Programs,substitute teacher,20.33,Master,memorial sloan kettering cancer center,sarah lawrence college,2
230,3.0,Law Practice,law,5.16,Doctor,cole schotz p c,elisabeth haub school of law at pace university,2
238,2.0,Accounting,tax accountant,6.57,Master,andersen,zicklin school of business,2
227,1.0,Law Practice,law,2.08,Bachelor,lassar cowhey llp,oxford college of emory university,2
203,2.0,Writing and Editing,writer,9.25,Master,borough of manhattan community college,rutgers university,2
262,3.0,Non-profit Organizations,teaching,11.5,Doctor,weill cornell medicine,joan sanford i weill medical college of cornell university,2
226,4.0,Architecture and Planning,architect,11.24,Master,nyu tandon school of engineering,harvard university graduate school of design,2
235,1.0,Photography,promoter,0.42,Bachelor,vector marketing,hofstra university,2
241,2.0,Photography,art,6.42,Bachelor,freelance,parsons school of design,2
249,2.0,Advertising Services,search,4.0,MBA,mediacom,loyola university chicago,2
312,1.0,Entertainment Providers,style,2.25,Master,kiko make up milano,make up designory,2
181,1.0,IT Services and IT Consulting,accounts payable,11.59,Bachelor,apex systems,colorado technical university colorado springs colorado december,2
337,1.0,Performing Arts,student worker,19.33,Master,new york university tisch school of the arts,new york university,2
200,5.0,Banking,credit analyst,24.16,empty,loose ends,yale university,2
401,2.0,Oil & Energy,qc inspector,28.08,empty,mechanical integrity inspection and consulting llc,qai training for quality llc,2
273,2.0,Law Practice,case,17.49,Doctor,lutheran social services of new york,city university of new york school of law,2
240,3.0,Computer Software,research,19.33,Doctor,meta,harvard university,2
167,4.0,Retail Apparel and Fashion,design consultant,8.08,Bachelor,me too shoes,parsons school of design the new school,2
362,5.0,IT Services and IT Consulting,data engineer,15.5,Bachelor,amazon,vellore institute of technology,2
207,2.0,Music,artist,5.5,Master,las americas en concierto,ithaca college,2
240,1.0,Design Services,store,10.0,Bachelor,mood home,university of massachusetts amherst,2
305,5.0,Beverage Manufacturing,food beverage,15.01,Bachelor,commis,california state university chico,2
203,1.0,Media Production,social media,6.24,Bachelor,studio of america,boston university,2
202,1.0,Performing Arts,production coordinator,18.5,Bachelor,the sheen center for thought and culture,king s college,2
263,5.0,Computer Software,technical writer,16.17,Bachelor,tibco,farmingdale state college,2
315,1.0,Medical Practice,teaching,0.08,Doctor,nyc health hospitals,st george s university,2
235,3.0,Hospital & Health Care,nursing,14.58,Bachelor,new york presbyterian hospital,dr carlos lanting college,2
320,3.0,Software Development,software engineering,8.66,Master,ihealthscreen inc,new york university,2
263,1.0,Primary/Secondary Education,teaching,6.59,Master,the river school,new york university,2
171,5.0,Publishing,editor,26.09,Bachelor,educational publishing firm,nyu,2
336,7.0,Real Estate,directors,8.83,Associate,cammarata real estate group,weichert real estate school,2
300,1.0,Primary/Secondary Education,teacher,5.41,Master,the windward school,manhattanville college school of professional studies,2
350,3.0,Research,scientific,11.33,Doctor,kramer levin naftalis frankel llp,weill cornell graduate school of medical sciences,2
298,1.0,Broadcast Media Production and Distribution,journalist,16.24,Bachelor,nbcuniversal media llc,william paterson university of new jersey,2
305,3.0,Marketing & Advertising,media relations,3.34,Master,wpp media,trinity college dublin,2
174,2.0,Government Administration,law,7.58,Doctor,nyc administration for children s services,new york law school,2
335,2.0,Legal Services,law,10.83,Bachelor,clark smith villazor llp,john jay college cuny,2
349,5.0,Architecture and Planning,architect,13.5,Master,man group,city university of new york brooklyn college,2
312,5.0,Chemicals,manufacturing operations,27.85,MBA,deccan heritage foundation india,mba uk,2
240,1.0,Government Administration,research,0.41,Bachelor,new york state assembly,baruch college,2
154,2.0,Insurance,database developer,14.0,empty,whatsuppbox,drexel university,2
332,2.0,Research Services,economist,16.17,Master,u s department of the treasury,university of the philippines,2
170,4.0,Utilities,engineering,9.16,MBA,con edison,nyu stern school of business,2
279,5.0,Fundraising,development,10.0,Master,american associates of the royal academy trust,ben gurion university of the negev,2
210,1.0,Public Policy Offices,community relations,5.17,Bachelor,columbia university irving medical center,city university of new york hunter college,2
173,5.0,"Health, Wellness & Fitness",clinical,3.58,Bachelor,nola physical therapy performance,new york medical college,2
321,2.0,Financial Services,business analyst,2.42,Bachelor,arga investment management lp,university of michigan,2
191,1.0,Investment Banking,audit,29.16,Associate,pricewaterhousecoopers ll,american institute of banking,2
231,5.0,Online Audio and Video Media,brand marketing,25.84,Bachelor,golf com and golf magazine,cornell university,2
262,4.0,Pharmaceuticals,clinical research,22.5,empty,sanofi,rutgers university college of pharmacy,2
391,1.0,Cosmetics,makeup artist,19.0,empty,ford artists nyc at ford models,pace university,2
156,2.0,Primary and Secondary Education,education,9.09,Master,central islip union free school district 13,touro college,2
279,5.0,Religious Institutions,food beverage,22.6,Associate,advanta health solutions inc,art institute of philadelphia,2
189,2.0,Industrial Machinery Manufacturing,design engineering,23.25,Master,stantec consulting services,new york university polytechnic school of engineering,2
341,2.0,Airlines/Aviation,embedded software engineer,4.92,Master,pratt whitney,case western reserve university,2
340,1.0,Mental Health Care,coach,25.57,Master,f45 training,john jay college cuny,2
295,2.0,Higher Education,professor,2.92,Doctor,shenzhen university,georgia state university,2
258,2.0,Telecommunications,writer,8.67,Master,n a,new york university,2
338,1.0,Legal Services,law,6.16,Bachelor,united states attorneys offices,northeastern university,2
351,2.0,Financial Services,coach,32.0,MBA,self employed,columbia business school,2
161,4.0,Food and Beverage Services,catering,23.09,empty,9 bar consulting llc,specialty coffee association,2
151,1.0,Retail Apparel and Fashion,design consultant,9.25,Bachelor,major label group,fashion institute of technology,2
302,3.0,Hospital & Health Care,physician,14.17,Doctor,montefiore health system,umass chan medical school,2
